best_epoch,training mae loss,validation mae loss,training time,validation time
1,1.7351853330985403,"tensor(1.7529, dtype=torch.float64)",0:01:15,0:00:03
2,1.6750914593824668,"tensor(1.7035, dtype=torch.float64)",0:01:01,0:00:03
3,1.6434759285554776,"tensor(1.6724, dtype=torch.float64)",0:01:01,0:00:03
4,1.6185406725700964,"tensor(1.5350, dtype=torch.float64)",0:01:01,0:00:03
5,1.5672612380656523,"tensor(1.4506, dtype=torch.float64)",0:01:01,0:00:03
6,1.4483037468348654,"tensor(1.3385, dtype=torch.float64)",0:01:01,0:00:03
14,0.8637519960869429,"tensor(1.3342, dtype=torch.float64)",0:01:02,0:00:03
15,0.7962747622747517,"tensor(1.3217, dtype=torch.float64)",0:01:01,0:00:03
17,0.7477103203475497,"tensor(1.3161, dtype=torch.float64)",0:01:02,0:00:03
18,0.7258823366697917,"tensor(1.2902, dtype=torch.float64)",0:01:01,0:00:03
19,0.7070738104646975,"tensor(1.2039, dtype=torch.float64)",0:01:01,0:00:03
20,0.6759155676496049,"tensor(1.1501, dtype=torch.float64)",0:01:02,0:00:03
21,0.6519170534987739,"tensor(1.0572, dtype=torch.float64)",0:01:02,0:00:03
22,0.6182203361133427,"tensor(1.0517, dtype=torch.float64)",0:01:02,0:00:03
23,0.6044697571464691,"tensor(1.0292, dtype=torch.float64)",0:01:02,0:00:03
24,0.5878621231861609,"tensor(0.9633, dtype=torch.float64)",0:01:01,0:00:03
25,0.57274643472288,"tensor(0.7779, dtype=torch.float64)",0:01:01,0:00:03
27,0.5410447123960009,"tensor(0.6912, dtype=torch.float64)",0:01:02,0:00:03
28,0.5390273648879724,"tensor(0.6702, dtype=torch.float64)",0:01:02,0:00:03
29,0.5230901673603475,"tensor(0.6569, dtype=torch.float64)",0:01:02,0:00:03
31,0.5074603787435449,"tensor(0.5954, dtype=torch.float64)",0:01:02,0:00:03
38,0.4435735495038964,"tensor(0.5929, dtype=torch.float64)",0:01:02,0:00:03
48,0.3882976413439551,"tensor(0.5474, dtype=torch.float64)",0:01:02,0:00:03
56,0.3466867231080276,"tensor(0.5139, dtype=torch.float64)",0:01:02,0:00:03
64,0.30799534983913396,"tensor(0.4479, dtype=torch.float64)",0:01:02,0:00:03
86,0.24797166972939622,"tensor(0.4407, dtype=torch.float64)",0:01:01,0:00:03
87,0.24722496548098963,"tensor(0.4103, dtype=torch.float64)",0:01:02,0:00:03
91,0.23386468256358614,"tensor(0.4054, dtype=torch.float64)",0:01:01,0:00:03
94,0.2233595610523585,"tensor(0.3959, dtype=torch.float64)",0:01:02,0:00:03
95,0.2125920063678436,"tensor(0.3949, dtype=torch.float64)",0:01:02,0:00:03
99,0.2190331417538052,"tensor(0.3900, dtype=torch.float64)",0:01:02,0:00:03
117,0.17579470481100484,"tensor(0.3889, dtype=torch.float64)",0:01:02,0:00:03
120,0.17689771195042503,"tensor(0.3822, dtype=torch.float64)",0:01:02,0:00:03
121,0.17469699255957638,"tensor(0.3647, dtype=torch.float64)",0:01:02,0:00:03
151,0.13799836745751443,"tensor(0.3605, dtype=torch.float64)",0:01:02,0:00:03
153,0.13225328677923176,"tensor(0.3585, dtype=torch.float64)",0:01:02,0:00:03
154,0.13062845834626752,"tensor(0.3575, dtype=torch.float64)",0:01:02,0:00:03
156,0.13056055824168855,"tensor(0.3543, dtype=torch.float64)",0:01:01,0:00:03
164,0.12628640708291353,"tensor(0.3528, dtype=torch.float64)",0:01:01,0:00:03
165,0.12446114039459207,"tensor(0.3469, dtype=torch.float64)",0:01:01,0:00:03
172,0.12021448806342158,"tensor(0.3467, dtype=torch.float64)",0:01:02,0:00:03
175,0.11809707361649262,"tensor(0.3439, dtype=torch.float64)",0:01:02,0:00:03
185,0.11588254281715081,"tensor(0.3424, dtype=torch.float64)",0:01:02,0:00:03
190,0.11628871145827038,"tensor(0.3421, dtype=torch.float64)",0:01:02,0:00:03
193,0.11493239849486676,"tensor(0.3417, dtype=torch.float64)",0:01:02,0:00:03
